trial,reference_theta_stick,comparison_theta,comparison_roughness,response,reaction_time
1,2.0,0.0,1.080,left,8.545724499999778
2,2.0,0.0,1.020,right,4.620680699998047
3,2.0,0.0,1.000,right,1.8754482000076678
4,2.0,0.0,1.040,right,5.1186347999901045
5,2.0,0.0,1.020,right,2.173788500018418
6,2.0,0.0,1.120,left,7.702887899999041
7,2.0,0.0,1.100,left,2.482389199984027
8,2.0,0.0,1.120,left,4.685327500017593
9,2.0,0.0,1.060,left,13.925739900005283
10,2.0,0.0,1.040,right,6.390514900005655
11,2.0,0.0,1.000,right,1.5030716999899596
12,2.0,0.0,1.060,left,8.814566700020805
13,2.0,0.0,1.100,left,1.9762991000025067
14,2.0,0.0,1.080,left,4.849975000019185
