trial,left_theta,right_theta,epsilon,correct_answer,response,correct,reaction_time
1,0.25,-0.25,8,left,right,False,1.527555200002098
2,-0.25,0.25,7,right,left,False,0.2388485000046785
3,-2,2,7,right,right,True,0.220417800002906
4,-1,1,7,right,left,False,0.10411190000013448
5,0.25,-0.25,3,left,right,False,0.3078841000024113
6,-0.5,0.5,3,right,left,False,0.2572617999976501
7,1,-1,7,left,right,False,2.588321299997915
8,0.5,-0.5,-8,left,left,True,0.21489480000309413
9,0.5,-0.5,7,left,right,False,0.21663560000160942
10,1,-1,3,left,left,True,0.22322780000104103
