trial,left_theta,right_theta,correct_answer,response,correct,reaction_time
1,-0.25,0.25,right,right,True,1.5416317000053823
2,-0.5,0.5,right,right,True,1.386768500029575
3,-0.25,0.25,right,left,False,1.8467558000120334
4,-1,1,right,right,True,1.0288307000300847
5,-0.5,0.5,right,left,False,1.642634900053963
6,-1,1,right,right,True,1.3724197000265121
7,1,-1,left,left,True,0.7901664999662898
8,-0.5,0.5,right,left,False,1.4725526999682188
9,-0.25,0.25,right,right,True,1.776815399993211
10,-1,1,right,right,True,2.2316897999844514
11,0.25,-0.25,left,left,True,1.3879464999772608
12,-1,1,right,right,True,0.7224085999769159
13,-0.5,0.5,right,right,True,1.3469976999913342
14,0.25,-0.25,left,left,True,1.1088200000231154
15,0.25,-0.25,left,left,True,1.8618979000020772
16,0.25,-0.25,left,left,True,2.2122462000115775
17,0.5,-0.5,left,right,False,1.7543711000471376
18,-0.5,0.5,right,right,True,1.4774867999949493
19,0.25,-0.25,left,left,True,1.254237600020133
20,-1,1,right,right,True,0.6389862000360154
21,1,-1,left,left,True,0.5144737000227906
22,0.5,-0.5,left,right,False,1.3364662999520078
23,-0.25,0.25,right,right,True,1.4804324000142515
24,1,-1,left,left,True,1.9219173000310548
25,-0.5,0.5,right,right,True,0.7627955000498332
26,-1,1,right,right,True,1.5978061000350863
27,-1,1,right,right,True,1.8608686999650672
28,0.25,-0.25,left,left,True,2.2490978999994695
29,0.5,-0.5,left,left,True,2.0441496999701485
30,-0.5,0.5,right,right,True,1.233403200050816
