trial,theta,roughness,response,reaction_time
1,0.0,1.100,right,4.80957149999449
2,0.0,1.040,left,14.66287200001534
3,0.0,1.000,left,1.99039009999251
4,0.0,1.080,right,2.82564579998143
5,0.0,1.120,right,3.0653637000068557
6,0.0,1.060,right,2.587982400000328
7,0.0,1.000,left,0.8374431999982335
8,0.0,1.020,left,1.3331810999952722
9,0.0,1.120,right,2.5493074000114575
10,0.0,1.020,left,0.6883947999740485
11,0.0,1.080,right,2.022771099989768
12,0.0,1.040,left,5.2847240999981295
13,0.0,1.100,right,1.3483692999870982
14,0.0,1.060,right,4.233483799995156
